VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesPrice,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,Brand_name
4425,MARTIGNETTI COMPANIES,6579,J Lohr Riverstone Chard,5.8,8.99,750.0,54960,318768.0000000009,54614,119330.73000001826,590552.8099999613,6128.409999999889,144929.24,174218.66000000003,29.500945055195228,0.9937045123726348,1.8526100800580976,J Lohr
3252,E & J GALLO WINERY,2164,New Amsterdam Gin,12.14,16.99,1750.0,26071,316501.9400000042,24072,205293.739999977,424487.27999995055,44230.42999999165,61966.91,116749.19999999995,27.50358031930039,0.9233247669824708,1.3411838170721635,New Amsterdam
2000,SOUTHERN WINE & SPIRITS NE,27854,F Coppola Black Label Claret,10.2,14.99,750.0,30869,314863.8000000015,30286,126975.38000000748,435576.61999998265,3391.749999999919,19016.59,145069.94000000003,33.305263262294886,0.981113738702258,1.3833810682586585,F Coppola
8112,MOET HENNESSY USA INC,3682,Belvedere Vodka,16.66,22.99,750.0,18848,314007.68,17327,194825.2499999877,401483.7299999693,13646.29000000109,48347.26,109679.90999999996,27.318643771693655,0.9193017826825128,1.2785793328366022,Belvedere Vodka
9552,M S WALKER INC,7878,Allens Coffee Brandy,9.99,15.99,1750.0,31200,311688.00000000524,30289,114810.5900000143,457395.1099999668,55655.889999993145,55551.81999999999,181734.0,39.732388044116426,0.970801282051282,1.467477445393981,Allens Coffee
2561,EDRINGTON AMERICAS,1634,The Famous Grouse,20.73,29.99,1750.0,15031,311592.63000000373,14250,220125.01999998128,434761.4999999679,26185.56999999927,9654.500000000002,131954.99999999997,30.35112354705044,0.948040715853902,1.395288136307854,The Famous
12546,JIM BEAM BRANDS COMPANY,3444,Hornitos Plata Tequila,29.13,39.99,1750.0,10636,309826.6800000047,10151,237266.02999998003,368306.4899999726,18655.02000000029,123880.97,110239.86000000004,29.931555102384493,0.9544001504324934,1.188750077946699,Hornitos Plata
17035,PERNOD RICARD USA,2426,The Glenlivet 15Yr FrenchOak,41.59,51.99,750.0,7445,309637.55,7196,244204.1699999869,399783.039999978,5670.409999999859,123780.21999999996,74838.4,18.719753594350603,0.9665547347212896,1.291132293224701,The Glenlivet
1392,CONSTELLATION BRANDS INC,32915,Kim Crawford Svgn Bl Marlbro,9.99,14.99,750.0,30842,308111.58000000525,30238,123968.8700000173,462640.6199999696,3388.58999999992,79528.99,151190.0,32.67979365927919,0.9804163154140458,1.5015359695340296,Kim Crawford
4425,MARTIGNETTI COMPANIES,35412,Yellow Tail Chard Ausl,5.97,9.99,1500.0,51294,306225.18000000564,49585,115446.8099999936,480928.2900000149,11137.04000000001,144929.24,199331.7,41.4472810489052,0.9666822630327134,1.5705053712434949,Yellow Tail
3960,DIAGEO NORTH AMERICA INC,3840,Smirnoff Raspberry Vodka,14.39,22.99,1750.0,21076,303283.6400000054,20709,220595.27999997255,429826.90999995,38052.56999999506,257032.0700000001,178097.39999999997,41.4346789036593,0.9825868286202316,1.4172439700339337,Smirnoff Raspberry
9552,M S WALKER INC,3769,Jenkins Vodka,7.02,9.49,1750.0,42549,298693.9799999946,41285,132468.41000003222,386762.64999996487,75851.89999998816,55551.81999999999,101973.95000000004,26.366028363909827,0.970293073867776,1.2948458151047162,Jenkins Vodka
8673,STE MICHELLE WINE ESTATES,8815,Ch Ste Michelle Chard Colmbi,6.07,8.99,750.0,48853,296537.71000000084,47637,95743.65999999792,423454.0899999901,5343.169999999902,15919.700000000004,139100.04,32.84890694998442,0.9751090004708002,1.427994065240434,Ch Ste
3960,DIAGEO NORTH AMERICA INC,3879,Smirnoff 80 Proof Traveler,7.91,12.99,750.0,37344,295391.0400000049,36211,184423.44999998435,422504.8899999388,28506.05000000386,257032.0700000001,183951.88,43.53840259695613,0.9696604541559556,1.4303239868072224,Smirnoff 80
12546,JIM BEAM BRANDS COMPANY,1375,Jim Beam,11.5,14.49,750.0,25183,289604.5,25687,199357.55999997747,395405.62999994855,20227.89000000325,123880.97,76804.13,19.424136677065015,1.020013501171425,1.3653297169068457,Jim Beam
8892,TRINCHERO FAMILY ESTATES,41034,Menage a Trois Red,5.26,8.99,750.0,54738,287921.8799999947,53363,130301.27000002438,497005.4899999581,5980.189999999876,11595.970000000005,199043.99,40.04865016682548,0.9748803390697504,1.7261817337396077,Menage a
1128,BROWN-FORMAN CORP,1545,Gentleman Jack,19.42,29.99,750.0,14785,287124.70000000007,14021,247191.729999974,409893.7899999656,11045.530000000546,68601.68000000001,148201.96999999994,36.15618816767446,0.9483260060872506,1.4275810823658344,Gentleman Jack
480,BACARDI USA INC,2665,Dewars White Label,15.38,19.99,750.0,18574,285668.11999999546,18589,211220.60999997912,390398.10999995936,14641.1700000019,89286.26999999999,85695.28999999995,21.950744075069643,1.0008075804888554,1.366614202522723,Dewars White
1128,BROWN-FORMAN CORP,1770,Jack Daniels Tennessee Fire,26.42,38.99,1750.0,10746,283909.31999999785,9851,227996.77999998428,378983.4899999754,18104.100000000373,68601.68000000001,123827.07,32.67347345395126,0.916713195607668,1.334875128438821,Jack Daniels
4425,MARTIGNETTI COMPANIES,6595,Bogle Merlot,4.48,6.95,750.0,63188,283082.2400000021,60997,107566.03000000864,491252.64999996417,6843.47999999982,144929.24,150662.59,30.66906407528,0.965325694752168,1.735370788361575,Bogle Merlot
1392,CONSTELLATION BRANDS INC,35472,R M Woodbridge Pnt Grigio,5.88,8.99,1500.0,47207,277577.15999999834,45798,125080.8100000271,460701.0199999554,10284.049999999985,79528.99,142431.78000000003,30.91631531443404,0.9701527315864172,1.6597223633239786,R M
8004,SAZERAC CO INC,5105,Dr McGillicuddy's Mentholmnt,14.81,25.99,1750.0,18007,266683.66999999026,16862,195906.39999998585,381027.3799999676,30984.99999999862,50293.62000000002,188517.16,49.47601403343141,0.9364136169267508,1.4287615735900945,Dr McGillicuddy's
